HUB ID,Location,Name,Sitewide?,Affected item,Additional Elements,Component,Description of item/issue,WCAG Guideline,Affected Users,Recommended Fix,Priority,Issue Resolved Date,Category,Category ID,Common Issue ID,Allyant Status,Client Status,Client Sprint,Client Release,Client Assignee,Client Source ID,Ready for QA,High Risk,Last Comment,Last Comment Timestamp,Last Comment Email,Created Session,Last Updated Session,Last Screenshot Link,All Screenshots,Issue Link,Related Knowledge Base Articles
13,https://bodybio.com/,Homepage,Yes,Close button,,Search,The close button is not labeled for screen reader users.,"1.3.1 (WCAG 2.0 A), 2.4.6 (WCAG 2.0 AA)",Visual,"Label the close button for screen reader users. 

Depending on the situation, some options include: 

* Add [screen reader only text](https://hub.accessible360.com/kb/articles/262) of “close” inside of the `<button>` (If an image is used, it will need to be hidden with `aria-hidden=”true”`) 
* Add `aria-label=""close""` to the `<button>`  
* Add `alt=”close”` to the `<img>`  
* [Label the `<svg>`](https://hub.accessible360.com/kb/articles/146)",Serious,,Buttons,98,14,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633768,https://hub.accessible360.com/screenshots/1633768,https://hub.accessible360.com/issues/575027/edit,"https://hub.accessible360.com/kb/articles/61, https://hub.accessible360.com/kb/articles/1178"
14,https://bodybio.com/,Homepage,Yes,Modal dialog container,,Search,This modal dialog is missing necessary ARIA attributes. ,4.1.2 (WCAG 2.0 A),Visual,"Ensure the attributes `role=""dialog""` and `aria-modal=""true""` are present on the wrapper element of this modal dialog. Do not [add these attributes](https://hub.accessible360.com/kb/articles/820#heading--do-not-dynamically-add-these-attributes-while-a-users-focus-is-inside) dynamically after the user's focus has been moved to it or into it.",Serious,,Modal Dialogs,112,588,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633769,https://hub.accessible360.com/screenshots/1633769,https://hub.accessible360.com/issues/575028/edit,"https://hub.accessible360.com/kb/articles/113, https://hub.accessible360.com/kb/articles/820, https://hub.accessible360.com/kb/articles/1001"
15,https://bodybio.com/,Homepage,Yes,Filter region,,Search,"This live filter region requires additional ARIA markup to assist screen reader users in understanding what this section is for, and where it begins and ends.",1.3.1 (WCAG 2.0 A),Visual,"Wrap both the text field and the content that it filters in a `<section>` tag or a `<div>` with `role=“region”` so that screen reader users can tell that they are related. 

Give this wrapper element a generic `aria-label` attribute value that broadly identifies what kind of content is being filtered. For example, “location filter” or “product filter”. 

See the [wrapper markup section](https://hub.accessible360.com/kb/articles/922#heading-wrapper) of the Knowledge Base article on Live Filters.",Serious,,Landmarks,107,907,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633770,https://hub.accessible360.com/screenshots/1633770,https://hub.accessible360.com/issues/575034/edit,"https://hub.accessible360.com/kb/articles/922, https://hub.accessible360.com/kb/articles/1001"
16,https://bodybio.com/,Homepage,Yes,Filter region,,Search,Screen Reader only text must be provided to describe the relationship between the live filter and its content.,"1.3.1 (WCAG 2.0 A), 3.3.2 (WCAG 2.0 A)",Visual,"Add screen reader only text inside of the filter region and before the input that provides instructions on how to use this live filter. 

For example, ""The following text field filters the results that follow as you type.""  Extend this screen reader only statement with additional instruction text tailored to your content and functionality.",Serious,,Forms,105,908,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633771,https://hub.accessible360.com/screenshots/1633771,https://hub.accessible360.com/issues/575035/edit,"https://hub.accessible360.com/kb/articles/922, https://hub.accessible360.com/kb/articles/1095"
17,https://bodybio.com/,Homepage,Yes,Live filter content changes,,Search,Content changes are not announced as users enter text in the live filter input.,1.3.1 (WCAG 2.0 A),Visual,"Use a “live region” to announce when the filtered content changes as the user types in the text field. To accomplish this, add a visually hidden container, and give this container the `aria-live=”assertive”` attribute. When results are found, insert text into this container similar to ""[#] results available"". When no results are found, insert text like ""no results available"" so that users know that they should probably stop typing and try a different search term.",Serious,,ARIA,95,909,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633773,https://hub.accessible360.com/screenshots/1633773,https://hub.accessible360.com/issues/575036/edit,https://hub.accessible360.com/kb/articles/922
18,https://bodybio.com/,Homepage,,Card/tile image (on hover),,Product Cards,"Additional content is only revealed on hover, which is inaccessible to screen reader and keyboard users.","1.4.13 (WCAG 2.1 AA), 2.1.1 (WCAG 2.0 A)","Cognitive,Motor / Dexterity,Visual","Make all content reachable and visible to screen reader and keyboard users. There are multiple ways to do this, depending on the specific use case. Start by reading through the techniques standard techniques below:

- For **tooltips**, read about [handling content that is shown automatically on hover](https://hub.accessible360.com/kb/articles/524#heading-for-automaticallyactivated-tooltips).
- For **tiles** and **cards**, read about [multiple techniques for making hover content accessible](https://hub.accessible360.com/kb/articles/743#heading-making-hover-content-accessible-for-keyboard-and-screen-reader-users).",Critical,,General,7,34,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633774,https://hub.accessible360.com/screenshots/1633774,https://hub.accessible360.com/issues/575039/edit,"https://hub.accessible360.com/kb/articles/524, https://hub.accessible360.com/kb/articles/743, https://hub.accessible360.com/kb/articles/692"
19,https://bodybio.com/,Homepage,,Card/tile region,,Product Cards,It is not clear to screen reader users where each card or tile begins and ends.,1.3.1 (WCAG 2.0 A),Visual,"Use `role=""group""` on each card, and a generic `aria-label`, such as ""product"" or ""item"" or similar (as appropriate to the content). Note that these attributes should not be added to an existing `<li>` element, but to a separate wrapping element that is a child of the list element.

Please refer to this section of the [Cards Knowledge Base article](https://hub.accessible360.com/kb/articles/692#heading-wrapper).",Serious,,Cards & Tiles,156,731,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633775,https://hub.accessible360.com/screenshots/1633775,https://hub.accessible360.com/issues/575040/edit,"https://hub.accessible360.com/kb/articles/692, https://hub.accessible360.com/kb/articles/743"
20,https://bodybio.com/,Homepage,,List of cards/tiles,,Product Cards,Screen reader users are unable to quickly determine how many cards or tiles are in this set.,1.3.1 (WCAG 2.0 A),Visual,"Use list markup, as shown in [this section of the Cards Knowledge Base article](https://hub.accessible360.com/kb/articles/692#heading-organizing-collections-of-cards-with-list-markup) (or [this section of the Tiles article](https://hub.accessible360.com/kb/articles/743#heading-organizing-collections-of-tiles-with-list-markup), which is the same).

In addition to helping screen reader users quickly understand how many cards are present in the set, list markup provides additional navigation options for screen reader users.",Warning,,Cards & Tiles,156,730,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633776,https://hub.accessible360.com/screenshots/1633776,https://hub.accessible360.com/issues/575041/edit,"https://hub.accessible360.com/kb/articles/692, https://hub.accessible360.com/kb/articles/743"
21,https://bodybio.com/,Homepage,Yes,Product card > Reviews,,Rating,This third-party component may contain content that is not fully accessible for all users.,,"Auditory,Cognitive,Motor / Dexterity,Visual","This component has been identified as third-party and, as such, has not been fully reviewed; however there are likely accessibility issues present. Please review the [Knowledge Base](https://hub.accessible360.com/kb/articles/943) article for more information about third-party content.

At this time, this component has been determined to not prevent you from receiving a Letter of Conformance. In order to close this issue, we require that you provide a comment (see ""Resolving Issues"" under [""Our Process""](https://hub.accessible360.com/kb/articles/943#heading-our-process) heading) below indicating that you are aware this component poses some accessibility issues and that you understand the risk. **Once such a comment has been left, we will close this issue as ""Not Fixing"".**

However, you have the option of including this component as part of your project and apply it under your Letter of Conformance. If you elect to do so, please reach out to your Customer Success Manager (CSM) to discuss next steps.
",Serious,,Third-party content,117,830,Open,Open,,,,,,,,,,Audit Session,Audit Session,,,https://hub.accessible360.com/issues/575043/edit,https://hub.accessible360.com/kb/articles/943
22,https://bodybio.com/,Homepage,,Product card on hover > Add to cart button,,Product Cards,Image links must be properly labeled for screen reader users.,2.4.4 (WCAG 2.0 A),Visual,"Based on the current content structure, select the appropriate option for remediation: 

- For each `<img>` element, adjust the `alt` to tell users where this link goes and/or what it does
- For each `<svg>` element, add `role=""img""` and `aria-labelledby` attributes to the `<svg>` tag, then add a `<title>` tag within the `<svg>` tag and give this `<title>` tag a unique `id` attribute. Ensure the `<title>` is a direct descendant of the `<svg>` tag and that the `<svg>` tag’s `aria-labelledby` attribute holds the `<title>` tag’s `id` value.
- If using a background image, change it from a CSS background image by using an `<img>` tag with an `alt` attribute then ensure it informs screen reader users where this link goes and/or what it does.
",Critical,,Images,1,116,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629738,https://hub.accessible360.com/screenshots/1629738,https://hub.accessible360.com/issues/575046/edit,"https://hub.accessible360.com/kb/articles/152, https://hub.accessible360.com/kb/articles/472"
23,https://bodybio.com/,Homepage,Yes,"""Blog"" and ""$ Results""",,Search,Text that functions as a heading should be marked up as such.,1.3.1 (WCAG 2.0 A),Visual,"Mark this text up as a heading.

Headings provide structure for screen reader users. When marking text up as a heading, verify that the page maintains a logical outline structure. For example; 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.",Serious,,Headings,106,15,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629740,https://hub.accessible360.com/screenshots/1629740,https://hub.accessible360.com/issues/575047/edit,https://hub.accessible360.com/kb/articles/63
25,https://bodybio.com/,Homepage,,<header> tag wrapping each heading,,,"When content is marked up as a header, but is not semantically a header, it can be confusing for screen reader users.",1.3.1 (WCAG 2.0 A),Visual,Remove the `<header>` tag.,Warning,,Landmarks,107,589,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629764,https://hub.accessible360.com/screenshots/1629764,https://hub.accessible360.com/issues/575056/edit,https://hub.accessible360.com/kb/articles/1094
26,https://bodybio.com/,Homepage,,Page headings,,,This page contains one or more heading levels in an illogical order.,1.3.1 (WCAG 2.0 A),Visual,"Verify that the page maintains a logical outline structure. For example, 

- Each page needs a single `<h1>` heading that describes the main purpose of the page.
- An `<h2>` should head each major section of the page.
- Subsequent heading levels (`<h3>` through `<h6>`) should be related to a parent `<h2>` and should not skip heading levels.

---

We recommend that you develop a plan to address heading levels at the global/site-wide level, as it is important to identify a pattern for headings and ensure the pattern is followed consistently across all pages. Please reach out via our help desk or by contacting your Allyant Customer Success Manager if you require assistance. Please see this [Knowledge Base article](https://hub.accessible360.com/kb/articles/74) for more information about heading level structure.",Warning,,Headings,106,40,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,,,https://hub.accessible360.com/issues/575057/edit,https://hub.accessible360.com/kb/articles/74
27,https://bodybio.com/,Homepage,,"""BRAIN & CELL HEALTH"" heading > Asterisk (""*"")",,,Elements that refer to footnotes should be marked up as links. ,1.3.1 (WCAG 2.0 A),"Motor / Dexterity,UX,Visual","Mark up each element as a link and ensure that it moves the user's focus to the beginning of the footnote. Target the `id` of each footnote, or fire a .focus() event on that element so screen reader users begin reading the page from there. Ensure the target element can receive keyboard focus by using a natively-focusable element or giving the element a `tabindex=""-1""` attribute.",Warning,,Focus,2,577,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629771,https://hub.accessible360.com/screenshots/1629771,https://hub.accessible360.com/issues/575064/edit,
28,https://bodybio.com/,Homepage,,Carousel,,Testimonials,It is not clear to screen reader users where the carousel begins or ends.,1.3.1 (WCAG 2.0 A),Visual,"Wrap the carousel in either a `<section>` or a `<div role=""region"">` tag. Be sure to add an `aria-label` containing the word ""carousel"" to this wrapper element. When there are multiple carousels on a page, ensure that each has a unique `aria-label`. See the KB article's [section on carousel wrappers](https://hub.accessible360.com/kb/articles/476#heading-wrapper) for more information.",Serious,,Carousels,100,469,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633778,https://hub.accessible360.com/screenshots/1633778,https://hub.accessible360.com/issues/575071/edit,"https://hub.accessible360.com/kb/articles/476, https://hub.accessible360.com/kb/articles/133"
29,https://bodybio.com/,Homepage,,Carousel,,Testimonials,It may not be clear to screen reader users how to interact with this carousel.,1.3.1 (WCAG 2.0 A),Visual,Add screen-reader-only text as the first child element of this carousel that succinctly and accurately describes the available functionality. Refer to the [guidance on screen-reader-only instructions](https://hub.accessible360.com/kb/articles/476#heading-instructions-for-people-using-screen-readers) in the Carousels and Sliders Knowledge Base article to learn more.,Warning,,Carousels,100,470,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633779,https://hub.accessible360.com/screenshots/1633779,https://hub.accessible360.com/issues/575072/edit,"https://hub.accessible360.com/kb/articles/476, https://hub.accessible360.com/kb/articles/1178"
30,https://bodybio.com/,Homepage,,Each slide,,Testimonials,It is difficult for screen reader users to identify when one slide ends and the next begins.,1.3.1 (WCAG 2.0 A),Visual,"Add `role=""group""` and `aria-label=""slide X of Y""` attributes to the element containing each slide.",Serious,,Carousels,100,477,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633780,https://hub.accessible360.com/screenshots/1633780,https://hub.accessible360.com/issues/575073/edit,https://hub.accessible360.com/kb/articles/476
31,https://bodybio.com/,Homepage,,All testimonials,Tabindex wrapping content with images of carousel at the right ,Testimonials,Unactionable elements should not have tabindex=”0”.,2.1.1 (WCAG 2.0 A),"Motor / Dexterity,Visual","Remove the `tabindex=""0""` attribute from each element so that they do not receive tab focus.",Warning,,Focus,2,565,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629791,https://hub.accessible360.com/screenshots/1629791,https://hub.accessible360.com/issues/575075/edit,
32,https://bodybio.com/,Homepage,,Rating stars,,Testimonials,Background images that provide information must be available to screen reader users.,1.1.1 (WCAG 2.0 A),Visual,Change each image from a CSS background image into an image tag (`<img>`) with an appropriate `alt` attribute.,Critical,,Images,1,50,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629777,https://hub.accessible360.com/screenshots/1629777,https://hub.accessible360.com/issues/575077/edit,"https://hub.accessible360.com/kb/articles/76, https://hub.accessible360.com/kb/articles/472"
33,https://bodybio.com/,Homepage,,Testimonial,,Testimonials,Block quotations should be marked up as such so that screen reader users are aware of this fact.,1.3.1 (WCAG 2.0 A),"UX,Visual",Ensure that each block quotation is wrapped in a `<blockquote>` tag.,Warning,,Markup,4,364,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629778,https://hub.accessible360.com/screenshots/1629778,https://hub.accessible360.com/issues/575079/edit,
34,https://bodybio.com/,Homepage,,Non-visible carousel slides,,Testimonials,Content within non-visible slides can receive keyboard focus and is visible to screen reader users at all times.,4.1.2 (WCAG 2.0 A),"Motor / Dexterity,Visual","Hide all non-visible carousel slides by adding `aria-hidden=""true""` attributes to the elements wrapping each inactive slide and  `tabindex=""-1""` attributes on each focusable elements within those slides.  See the [guidance on hiding inactive slides](https://hub.accessible360.com/kb/articles/476#heading-slides) in the Carousels and Sliders Knowledge Base article.",Serious,,Carousels,100,471,Open,Open,,,,,,,,,,Audit Session,Audit Session,,,https://hub.accessible360.com/issues/575080/edit,https://hub.accessible360.com/kb/articles/476
35,https://bodybio.com/,Homepage,,Each testimony person,,Testimonials,Headshot images must be labeled correctly for screen reader users.,1.1.1 (WCAG 2.0 A),Visual,"Ensure the image `alt` of headshot images includes the individual's full name and the word “headshot”, or similar. For example, `alt=“Headshot of John Smith”`.",Serious,,Images,1,627,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633782,https://hub.accessible360.com/screenshots/1633782,https://hub.accessible360.com/issues/575081/edit,
36,https://bodybio.com/,Homepage,Yes,"""CONTACT US"" heading > List",,Footer,"When content is marked up as a list, but is not semantically a list, it can be confusing for screen reader users.",1.3.1 (WCAG 2.0 A),Visual,"Preferably remove the list markup or, less preferably, add the attribute `role=""presentation""` to the parent list element (`<ul>`, `<ol>`, or `<dl>`).",Warning,,Lists,109,103,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633783,https://hub.accessible360.com/screenshots/1633783,https://hub.accessible360.com/issues/575082/edit,"https://hub.accessible360.com/kb/articles/163, https://hub.accessible360.com/kb/articles/1094"
37,https://bodybio.com/,Homepage,Yes,Form,,Sign up,This third-party component may contain content that is not fully accessible for all users.,,"Auditory,Cognitive,Motor / Dexterity,Visual","This component has been identified as third-party and, as such, has not been fully reviewed; however there are likely accessibility issues present. Please review the [Knowledge Base](https://hub.accessible360.com/kb/articles/943) article for more information about third-party content.

At this time, this component has been determined to not prevent you from receiving a Letter of Conformance. In order to close this issue, we require that you provide a comment (see ""Resolving Issues"" under [""Our Process""](https://hub.accessible360.com/kb/articles/943#heading-our-process) heading) below indicating that you are aware this component poses some accessibility issues and that you understand the risk. **Once such a comment has been left, we will close this issue as ""Not Fixing"".**

However, you have the option of including this component as part of your project and apply it under your Letter of Conformance. If you elect to do so, please reach out to your Customer Success Manager (CSM) to discuss next steps.
",Serious,,Third-party content,117,830,Open,Open,,,,,,,,,,Audit Session,Audit Session,,,https://hub.accessible360.com/issues/575083/edit,https://hub.accessible360.com/kb/articles/943
39,https://bodybio.com/,Homepage,,"""We believe there is no way to heal the complex diseases of today without..."" testimonal",,,Unactionable elements should not have tabindex=”0”.,2.1.1 (WCAG 2.0 A),"Motor / Dexterity,Visual","Remove the `tabindex=""0""` attribute from each element so that they do not receive tab focus.",Warning,,Focus,2,565,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1629801,https://hub.accessible360.com/screenshots/1629801,https://hub.accessible360.com/issues/575092/edit,
127,https://bodybio.com/,Homepage,Yes,"For example: ""Shop now"" link",,Color & Contrast,This color combination does not meet the minimum color contrast required by the WCAG. The combination of blue (#26b1eb) and white (#FFFFFF) only has a contrast ratio of #2.45:1.,1.4.3 (WCAG 2.0 AA),Visual,"The visual presentation of all instances of text & images of text presented in this color combination — across the entire site — should be modified to have a contrast ratio of at least 4.5:1. Larger text with a size of at least 18pt (24px or 1.5em), or 14pt (18.66px or 1.2em) and bold (font-weight: 700 or more), only requires a minimum contrast ratio of 3:1.

**Note:** the color combination specified in this issue’s example may also be present elsewhere on your site. We recommend careful review and monitoring of all site colors to ensure ongoing, site wide compliance with color contrast requirements.",Serious,,Color and contrast,5,19,Open,Open,,,,,,Yes,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633751,https://hub.accessible360.com/screenshots/1633751,https://hub.accessible360.com/issues/575917/edit,"https://hub.accessible360.com/kb/articles/132, https://hub.accessible360.com/kb/articles/862, https://hub.accessible360.com/kb/articles/864"
128,https://bodybio.com/,Homepage,Yes,For example: Previos and Next buttons on carousel,,Color & Contrast,This graphical object does not meet the minimum color contrast required by the WCAG. The combination of blue (#26b1eb) and white (#FFFFFF) only has a contrast ratio of #2.45:1.,1.4.11 (WCAG 2.1 AA),Visual,"The visual presentation of this graphical object should be modified to have a contrast ratio of at least 3:1 with the adjacent color.

**Note:** the color combination specified in this issue’s example may also be present elsewhere on your site. We recommend careful review and monitoring of all site colors (including instances of essential graphical objects) to ensure ongoing, site wide compliance with color contrast requirements.",Serious,,Color and contrast,5,586,Open,Open,,,,,,,,,,Audit Session,Audit Session,https://hub.accessible360.com/screenshots/1633752,https://hub.accessible360.com/screenshots/1633752,https://hub.accessible360.com/issues/575920/edit,"https://hub.accessible360.com/kb/articles/863, https://hub.accessible360.com/kb/articles/864"
